"","Pub.number","Department","Author","Title","School","Degree","Year","Pages","ABSTRACT","Method.Terms","Notes","Clin","Crit","Disc","Ethn","Expt","Hist","Intv","Meta","Modl","Phil","Poet","Prac","Rhet","Surv","Othr","Ped","Method.Count","Exclude.Level","Aggreg","Phenom","Dialec","Techne","Counts.simple","Subject","KEYWORDS","Advisor.type","Advisor.Name","School_original","Link","X500","Advisor","Subject.Codes","Subject.Terms","Flags","Tagged.By","Andrew.Tags","Sandra.Tags","Sandra.Notes","Ben.Tags","Ben.Flags","Ben.Notes","rownumber"
"1420","3208759","","DICK, RODNEY F.","Does interface matter? A study of Web authoring and editing by inexperienced Web writers","University of Louisville","Ph.D.",2005,389,"Graphic user interfaces (GUIs---computer software designed to connect the user to the system) like <italic>Windows, Microsoft Word</italic> and <italic> Netscape Composer</italic> mediate the interaction between the user and the computer, helping the user accomplish specific goals through the technological apparatus. Despite their ease of use, these interfaces are neither transparent nor ideology-free (Selfe & Selfe, 1999). The drive to create user-friendly, easy-to-use software complicates pedagogy because, in many classrooms, instructors rely on such software applications without fully understanding or articulating to their students the implications of their use. Such uncritical use can lead students to develop a set of basic technological skills for composing Web documents but only as these technological skills are <italic>situated within </italic> and <italic>mediated</italic> by the specific interface. Inexperienced college writers composing Web-based documents must develop a ""transferable"" technological literacy that allows for the application of technology skills across interfaces. There is also a need for a more critically aware pedagogy (both of the implications of using certain technologies in the classroom AND of the need to develop transferable technological literacy) in CMC environments that require (or encourage) students to compose hypertext. ^ The purpose of this study was to investigate the role that easy-to-use Web-design software (e.g., <italic>Netscape Composer</italic> and <italic> Microsoft FrontPage</italic>) played in the composing processes of inexperienced college writers as they composed Web pages. In particular, there was in interest in how different Web composing interface(s) affected (mediated) the composing processes of these inexperienced students and also affected the final product. The data included an initial interview, video screen captures of the entire composing process, think-aloud protocols to capture thinking and decision-making processes, type and duration of student interaction with support materials (researcher facilitation and help files), and a follow-up interview. ^ The data suggest that the students were better able to develop transferable knowledge and skills for Web composing when they could work past procedural issues by developing comparisons to other Web composing interfaces and/or other similar WYSIWYGs. For these students, the development of transferable technological literacy often occurred despite rather than because of the ""easy-to-use"" interface. ^","Clinical / Case Study|Ethnographic ~check","",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"Language, Rhetoric and Composition","Writers|Editing|Authoring|World Wide Web","Adviser","Geoffrey Cross",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1438","3210553","","DELP, VERDA KATHERINE","Meaning-making journeys in the untracked English classroom: Students thinking and writing interpretively about literature and themselves","University of California-Berkeley","Ed.D.",2005,165,"This qualitative study examines the notion of meaning-making within the realm of the untracked English classroom. It includes a theoretical framework for considering meaning-making within the context of the classroom and explores further what it means to teach and learn dialogically. It examines how individual students created their own meaning-making journeys within the structuring of a year long study of literature and writing. ^ Through analysis of three students' writing, art and talk, this study explores what meaning-making looked like for individual students in an eighth-grade, untracked English class over the course of one school year. It focuses on the different kinds and functions of the dialogic relationships students created for themselves when they participated in the study of literature and writing. It explores further how individual students connected themselves to the literary texts they studied, what skills and practices they used for negotiating understanding for themselves, and how they portrayed their thinking in their writing, art and talk. This analysis of individual students' meaning-making journeys shows further how students, over time, deepened their understanding about literary characters' lives, the thematic notions they chose to study, and themselves. ^ Finally, this analysis of individual students' meaning-making journeys establishes a set of principles about teaching and learning dialogically in the English classroom. These principles include: (a) teachers and students understanding and honoring the fragile and complicated nature of meaning-making; (b) teachers and students recognizing that struggles are an inherent and necessary part of meaning-making; (c) teachers providing students with meaning-making opportunities <italic>over time</italic>; (d) teachers recognizing that students need to learn <italic>how</italic> to make meaning; (e) teachers recognizing and supporting students' individual ways of positioning themselves in relation to the texts they study; and (f) teachers encouraging students to explore ideas of their own choosing, and supporting and guiding students as they learn to trust in the integrity of their ideas and the words they choose to portray them. ^","Clinical / Case Study|Ethnographic ~check","",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"Education, Language and Literature|Language, Rhetoric and Composition|Education, Philosophy of","Interpretive writing|Untracked|Meaning-making|English","Adviser","Sarah Waushaur Freedman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1446","3211648","","AL-QAHTANI, ABDULKHALEQ A.","A contrastive rhetoric study of Arabic and English research article introductions","Oklahoma State University-Main Campus","Ph.D.",2006,221,"There were three main purposes of this study. First, the study was to find whether writers with diverse educational backgrounds would perform the same written task differently. Second, it was designed to identify the macrostructure/rhetorical organization of research article (RA) introductions written in Arabic by Arab scholars. The third purpose was to explore differences and similarities between Arabic RA introductions and English RA introductions produced by Americans who were native speakers of English. The corpus used in this study consisted of 15 research article introductions divided into three groups: Arab-educated Arabs (A-Ed-A, authors who earned their graduate degrees in the Arab World), US-educated Arabs (US-Ed-A, authors who earned their degrees in the United States, and US-Native English speaking group (US-N). Swales's (1990) CARS model was used as a tool of analysis. Comparisons were made among the three groups at two levels of analysis: the macrostructure level and the move-step level. ^ The two Arabic groups were found different at the two levels of analysis: the macrostructure level and the move-step level. This result signified that there were two models of rhetorical organization of Arabic RA introductions: a homegrown model and a hybrid model. The homegrown exhibited features which were more distant from the US-N group than the US-Ed-A group which shared some US writing norms. In addition, both of the Arabic groups were different from their American counterpart. Arab authors claimed the importance of their research in the real world rather than in existing research tradition as was the case in the American group. Thus, educational background of Arab RA writers could account for the preference of the rhetorical organization model of RA introductions as the US-Ed-A writers employed a hybrid rhetorical organization and the A-Ed-A writers employed the homegrown model. In spite of the differences in the Arabic context, the norms of Arabic writing tolerate/embrace such diversity. ^","Discourse or Text Analysis| ~check","",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"Education, Bilingual and Multicultural|Language, Linguistics|Language, Rhetoric and Composition","Research articles|Arabic|Contrastive rhetoric|English|Introductions","Adviser","Gene Halleck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1464","3213873","","BRIAM, CAROL STENGEL","The organization of data graphics: A heuristic for writing instructors","Indiana University of Pennsylvania-Main Campus","Ph.D.",2006,330,"While presentation and charting software programs have become increasingly sophisticated, improved software has not necessarily lead to improved data graphics. This study starts from the premise that focusing on the <italic> organization</italic> of information can lead to data graphics that are potentially more useful. The study thus unites two sets of ideas: (a) means of organizing information, and (b) means of analyzing and presenting data in graphic form. ^ Six different ways of organizing information are developed in a framework that incorporates verbal, visual, and mathematical considerations. This framework, or heuristic, is then used to reveal underlying organizational structures present in data graphics. ^ Though theoretical in nature, the study focuses on the practical application of the concepts presented, such as how to use the organizational heuristic to design and evaluate data graphics. For example, the study explains two expert approaches to designing data graphics and then reformulates the experts' guidelines in line with the organizational heuristic. These reformulated guidelines are then used to compose knowledge-creating data graphics from unstructured data. ^ The study relies on document analysis as its research method. Documents dealing with organization issues include works from the field of information design and discourse theory by such authors as Richard Saul Wurman and James L. Kinneavy. Documents related to data graphics include works from the fields of statistics, operations research, and cartography by A. S. C. Ehrenberg, David Targett, and Jacques Bertin. ^ In exploring jointly two sets of ideas related to organization and data graphics, the study shows how data presentation, and the way data are organized, fosters data analysis and leads to the discovery of new information. For the field of composition and rhetoric, the study demonstrates in a concrete way the importance of rhetorical arrangement, and how rhetorical arrangement leads to rhetorical invention. The result is a pedagogical resource for composition and other writing instructors who want to integrate data graphics into their courses, or who seek a system of organizing that can be applied to text as well as to data graphics. ^","Model-Building ~Read|Meta-Analysis / Discipliniography ~check","",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,2,"Business Administration, General|Journalism|Language, Rhetoric and Composition","Visual communication|Data graphics|Business communication|Technical communication|Writing instructors","Adviser","Bennett A. Rafoth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1468","3215105","","DOWNER, CHRISTA JEAN","The making of a pluralistic egalitarian society: Reconceptualizing the rhetoric of multiculturalism for the 21st century","Texas Woman's University","Ph.D.",2006,255,"This dissertation explores the rhetoric of multiculturalism as it manifests itself in the influential forms of critical, liberal/left-liberal, feminist, and transformational multiculturalism. I explore the ways in which the rhetoric of multiculturalism critiques and challenges dominant narratives about the civil society by-products of citizenship, civic virtues, and the common good. I then show how multiculturalists reconceptualize the U.S. social sector to achieve the promises of democracy. My central thesis is that the different forms of multiculturalism working synergistically provide a theoretical model and normative ideal of U.S. civil society based on a philosophical tradition of pluralistic egalitarianism. An underlining thesis of this work is that democracy needs and is needed by a moral philosophy of pluralistic egalitarianism. Together they keep the ideal of democracy possible. ^ I begin the analysis by examining how the different forms of multiculturalism reconceptualize the U.S. citizen. The pluralistic egalitarian citizen considers the moral and political principles of equality, freedom, justice, and humanity a set of ultimate norms that guide critical thinking about divisive issues in U.S. society. Chapter three illustrates how multicultural rhetoric transforms traditional notions of civic virtues by rejecting the disjunction between principles and virtues. Pluralistic egalitarian members of society live by civic moral virtues that express the contractarian principles of democracy in their public and private lives. Chapter four examines how multiculturalism challenges pervasive ideologies in current U.S. society that obstruct the realization of the ideal of democracy and creates a space in which members of society who hold divergent ideas of the common good can come together and deliberate in an ethical manner. In chapter five, I examine the agentic orientations that academic multiculturalists adopt and the multicultural literacy that they create in pursuit of their transformational goals. Chapter six applies the moral framework of pluralistic egalitarianism to two examples of divisive contemporary issues in U.S. society---unauthorized Mexican workers and homosexual rights---illustrating how multiculturalists offer ways to communicate about cultural issues and mitigate cultural tensions that extend the ideal of democracy to all its members. Chapter seven concludes the study with a discussion of limitations and illumination of possibilities. ^","Philosophical / Theoretical ~check|Cultural-Critical Studies ~check","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,"Language, Rhetoric and Composition","Society|Reconceptualizing|Pluralistic|Multiculturalism|Twenty-first century|Rhetoric|Egalitarian","Adviser","Stephen Souris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1472","3215435","","FLAIL, GREGORY JAMES","The sexual politics of meat substitutes","Georgia State University","Ph.D.",2006,192,"Food choice has intrigued generations of scholars seeking insight into the rituals that characterize the cultural and sub-cultural values of various nations and eras. Among the more recent cultural phenomena to influence theories about the body is food choice. Perhaps there is no argumentative issue more pervasive than that of food choice, because everyone must eat. The morsels that people consume are chosen as often as not for their symbolic value. A review of the literature of dietary discourse and representation reveals a gap where studies of vegetarian and vegan identity, mass media, and mass markets are concerned. This dissertation utilizes theories of representation, cultural studies, and discourse analysis to uncover culturally specific attitudes in the marketing of food with regard to vegetable-based diets, the foods that they consist of, and the people who eat them. ^","Cultural-Critical Studies ~check","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Business Administration, Marketing|Language, Rhetoric and Composition|Mass Communications","Sexual politics|Food choice|Culture|Meat substitutes|Vegetarianism|Veganism","Adviser","George Pullman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1475","3215625","","BOWIE, JENNIFER LYNN","Exploring user/webtext interactions: An examination of gender and sex differences in Web use","Texas Tech University","Ph.D.",2004,427,"Online texts are an increasingly common part of the classroom and the world at large. As web use increases in education, industry, and home/private use, few people critically examine the impact of such texts, especially with regard to gender equality, design, and use. As a result, there is a lack of research examining sex/gender differences in how people use webtexts and a deficit of design and development research methods that consider sex/gender differences. ^ This dissertation provides an in-depth examination of sex (biological) and gender (cultural) differences and similarities in the use of webtexts. I analyzed: navigation; orientation; back button use; task completion success rate; time; attitudes towards browsing, search, and surfing; the frequency of surfing and site loyalty; and how differences in these areas compare to previous research on sex/gender differences. I found sex differences in navigation; orientation; and the enjoyment and preferences of browsing, searching, and surfing. I found gender differences in navigation; orientation; time; and the ease of browsing. I also found similarities across the two sexes and four genders in back button use and success rate. Some of my findings closely correlate to previous research, but other findings, like the initial navigation methods used by males and females, provide an interesting contrast to previous research. ^ My research has implications for web design; for user-centered design methods; and for technical communication, feminist research and gender studies, and education. With this research study, and with future studies on differences and similarities among our users, technical communicators can begin to develop and understand the full universe of users and create website designs that are truly users-centered. ^","Experimental ~check","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,"Women's Studies|Language, Rhetoric and Composition|Information Science","User/webtext interactions|Gender differences|World Wide Web|Usability testing","Adviser","Rebecca Jo Rickly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1476","3215695","","CAMPBELL, JENNIFER RILEY","Long strange trip: Mapping popular culture in composition","Auburn University Main Campus","Ph.D.",2006,223,"Popular culture has been a continuing research and teaching interest for compositionists since the 1950s, but the focus, tone, and quality of popular culture scholarship and pedagogy have been far from consistent. In the 1960s and '70s, writing teachers turned to the popular culture studies movement for content and methods. From the late 1970s on, however, compositionists have been increasingly influenced by cultural studies in the Birmingham tradition. Throughout the late '80s and '90s, cultural studies approaches dominated the study of popular culture in composition; these approaches have benefited writing instruction, but they have had problematic results as well. We can overcome the weaknesses of cultural studies pedagogies and develop more effective writing curricula by reclaiming useful elements of popular culture studies and grounding our appropriations from both movements in established theories and methods from rhetoric and composition studies. ^ This dissertation delineates historical, theoretical, political, and practical similarities and differences between cultural studies and popular culture studies and traces how these fields have influenced composition studies. I then present a hermeneutic and heuristic guide that maps three main avenues for engaging popular culture in composition based on content and practice from all three movements. <italic>Functional</italic> approaches are concerned with the technical and formalist methods shared by popular culture studies, cultural studies, and composition studies. <italic>Relational</italic> approaches, which are more common in popular culture studies, focus on the relationship between the reader and pop culture texts as well as the relationship between producer and text, with an emphasis on the affective aspects of production and consumption. <italic>Conjunctural</italic> approaches, based in cultural studies, pursue more comprehensive critical projects that analyze the production, distribution and consumption of texts as well as historical, cultural, and political contexts. Specific course plans and assignments illustrate each level of engagement and suggest how these approaches can be combined in a balanced composition curriculum that meets established educational outcomes, particularly those set forth by the ""WPA Outcomes Statement for First-Year Composition."" ^","Meta-Analysis / Discipliniography|Model-Building|Rhetorical Analysis ~check","",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,1,0,1,0,2,"Anthropology, Cultural|Language, Rhetoric and Composition","Popular culture|Composition|Writing pedagogy","Adviser","Frank Walters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1477","3215702","","DEMOTT, MILES LAMAR","Writing conference interaction and scaffolding: The possible and the actual","Auburn University Main Campus","Ph.D.",2006,284,"Writing conferences during the freshman composition course are characterized by role-based, dyadic interactions between a teacher and his or her students that have implications for students' development in academic writing. Scaffolding, a type of interaction associated with the novice-expert role dyad, is considered to be among the most widely used pedagogical strategies in composition instruction. Data were gathered during a single semester's freshman composition course and included audio recordings of conferences, conference observation field notes, and post-conference interviews with student participants. Features described as possible by current literature in composition studies were synthesized into operational categories and compared with transcriptions of actual teacher-student writing conference interactions. ^ The transcripts of actual conferences revealed that scaffolding as described in current literature was not a pervasive type of interaction during teacher-student writing conferences. Many of the features of scaffolding described by the literature were evident, but the potential for scaffolding during the interactions was hampered by limited student contribution to dialogue, missed opportunities at critical decision points, and the inability to discern student demonstration of comprehension or increased competence as a result of the interaction. ^ The transcripts revealed a student preference for directive instruction, a recognition of the teacher's authority, and a hesitance to question authority that are characteristic of the developmental stage associated with college freshmen. Implications for teacher-student interactions during writing conferences and the ability of such interactions to facilitate instruction in academic writing are discussed. ^","Ethnographic ~check|Clinical / Case Study","",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"Education, Language and Literature|Language, Rhetoric and Composition","Interaction|Scaffolding|Academic writing|Writing conferences","Adviser","Alyson Isabel Whyte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1479","3215779","","GHANDOURA, WALEED A.","College ESL students' attitudes and beliefs about computer-assisted writing classes","Indiana University of Pennsylvania-Main Campus","Ph.D.",2006,280,"The purpose of this study was to examine the attitudes and beliefs of a group of basic level college writing ESL students about a computer-aided composition class. Specifically, it sought to focus on their beliefs and attitudes regarding their writing development through the extensive use of the Web-based CMS, WebCT. In addition, the study reports on ESL students' perceptions on the obstacles and difficulties they experienced when learning composition in a computer-aided writing course (CAWC) environment. Thirteen ESL students enrolled in an introductory writing course participated in this qualitative/quantitative study. ^ Data from student diaries revealed that students enjoyed and valued the WebCT course. Student diary entries reported that the use of computers and WebCT facilitated their acquisition of writing skills and that students valued instructor feedback and peer responses to their work. Classroom observations yielded information about the structure of the class and instructor activities including the success of repetition of key ideas and brainstorming about topics in class. Interviews with the students revealed that students thought that computers made the acquisition of writing skills easier and faster, and students valued the feedback from instructors and fellow classmates alike. Quantitative survey results indicated that almost none of the students had previously taken a WebCT course, and that the use of WebCT in the course made the students become better writers. With regard to attitudes about writing, students responded that computers made writing easier, made them learn to write better, and did not take more time than traditional writing. Hypothesis tests indicated (a) that student attitudes about the use of WebCT were related to the grades they earned in the class, (b) that attitudes about the effectiveness of WebCT were related to course activity, (c) that there was no relationship between years of computer use and attitudes about the effectiveness of WebCT, and (d) that there was no relationship between prior computer knowledge and attitudes about WebCT. ^","Interview / Focus Group ~check|Ethnographic","",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,"Education, Language and Literature|Education, Bilingual and Multicultural|Language, Rhetoric and Composition|Education, Technology of","Computer-assisted writing|College students|English as a second language","Adviser","Lilia Savova",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1489","3216862","","BRENNAN, THOMAS","Composition studies and teaching anxiety: A pilot study of teaching groups and discipline- and program-specific triggers","Bowling Green State University-Main Campus","Ph.D.",2006,253,"Although previous studies on teaching anxiety have clarified the general characteristics and manifestations of this phenomenon and established the need for more effective teacher preparation programs, most do not reflect the practices or concerns of writing instructors or indicate how or why they experience anxiety. The purpose of this dissertation, therefore, was to determine how the rhetorical and situational elements of writing instruction contribute to teaching anxiety and to what extent composition instructors attempt to resolve or minimize the effects of potential triggers and symptoms. Over a period of sixteen weeks, five first-year composition instructors completed a series of interviews and surveys related to their teaching and met periodically in small groups to discuss instructional matters and strategies for handling them. Data yielded from interview and group session transcripts and survey responses indicated that (a) general teaching anxiety triggers (that is, triggers found in any discipline and at any level) are often compounded by discipline- and/or program-specific anxiety triggers, (b) the potential anxiety triggers instructors reported or exhibited seem to interfere with their abilities to successfully impart student learning, and (c) instructors' behavioral responses to such anxiety triggers are influenced by what they consider to be the likeliest and/or most addressable sources of their anxiety. These findings provide several starting points for a much needed in-depth look into the causes and manifestations of and possible remedies for teaching anxiety as well as the long-term effects of teacher preparation and faculty development programs on anxiety and job performance. ^","Clinical / Case Study|Survey ~check","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,2,"Education, Language and Literature|Education, Educational Psychology|Education, Teacher Training|Language, Rhetoric and Composition|Education, Higher","Teaching anxiety|Communication apprehension|Composition Studies|Anxiety triggers","Advisers","Kristine Blair; Sue Carter Wood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1500","3218679","","BALLENTINE, BRIAN DOUGLAS","Toward a rhetoric of engineering: Explorations in the practices of engineers and the implications for the teaching of technical communication","Case Western Reserve University","Ph.D.",2006,203,"This dissertation addresses the lack of a theoretically rich, rhetorical understanding of the inventive and knowledge producing practices of working engineers. Even though the growing discipline of professional and technical communication has begun to focus on the discourse practices of engineers, technical communication scholarship has produced only research and pedagogy that is attentive to audience awareness. My research instead shows the ways that rhetoric is embedded in all engineering activities. I develop a rhetoric of engineering that I define as an iterative, recursive, and epistemic process, and claim the communications and discourse required for a successful engineering project are rhetorical. Recursion promotes revision to engineering documentation and compels engineers to reassess their world view of a project. That is, rhetorical engineering can actually prevent solipsistic engineering practices common in all of the major disciplines. The rhetoric of engineering's recursivity spawns multiple iterations or versions of the texts necessary for a successful project. These iterations effectively create an archive for an engineering project that serves as an external memory device for an engineering team. Chapter one contains a rhetorical analysis of software requirement specifications for a professionally developed software application from the medical industry. I demonstrate how the text from this pre-engineering design document becomes embedded in the final material product that is the saleable software application. In chapter two I adapt Aristotle's special topics to serve an engineering audience. I apply my new special topics of engineering to real-life engineering situations provided in the form of profiles that document a calendar day of a working engineer. I critique the major textbooks used to teach engineers communication skills in chapter three and propose my own curriculum in chapter four. I believe that the challenges of interdepartmental collaboration necessitated by English writing instructors teaching engineering students provides an important site for theoretical and pedagogical innovation. My findings make an important contribution to the ongoing debate about the nature, definition, and role of technical communication and about appropriate instructional methodologies for teaching engineers communication. ^","Philosophical / Theoretical|Critical / Hermeneutical|Poetic / Fictive ~check|Clinical / Case Study ~check","",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,1,1,1,3,"Language, Rhetoric and Composition","Engineering|Teaching|Rhetoric|Professional writing|Technical communication","Adviser","Todd Oakley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1502","3219023","","DIMOCK, AARON MCNULTY","Public deliberation and going to war: Examining city council resolutions on Iraq","University of Colorado at Boulder","Ph.D.",2006,367,"In the Fall of 2002 and Spring of 2003, the US Government prepared to go to war in Iraq. As it did so, there was a campaign to pass resolutions opposing the war in city councils across the country. The public conversations that sprang up around these resolutions provided naturally occurring discourse that displayed citizens' tacit understandings of both war and democracy. By examining the deliberations surrounding the resolution campaigns, this dissertation explores how citizens deliberate in ways that are harmful to and productive of legitimate civil judgment. ^ Public deliberation is essential to the functioning of legitimate democracy and best understood in the form of public conversations. Civil styles of discourse are conducive to developing shared meanings of both war and democracy. Uncivil forms of discourse undermine the unity necessary for the development of discursive public opinion. ^","Historical / Archival|Discourse or Text Analysis ~check","",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,"Speech Communication|Political Science, General|Political Science, International Law and Relations|Language, Rhetoric and Composition","Public deliberation|Iraq War|War|City council resolutions","Advisers","Karen Tracy; Gerard Hauser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1512","3220773","","GUENTHER, JOHN J.","The writing oracle: Towards a rubric in urban planning and architecture","Arizona State University","Ph.D.",2006,133,"Outside of university English departments, composition pedagogy has been largely unexplored even though the ability to communicate through writing is crucial in virtually all academic disciplines. This study probes the complexity of assigning <italic>value</italic> to various characteristics of writing in the field of urban planning and architecture. The major question is: can performance-oriented writing descriptors be determined and described from the communication strategies of successful architects and planners? If so, these descriptors can be used to develop desired learning outcomes in the academic training of college students comparable to the way that elementary and secondary teachers work with the characteristics known as the Six-Traits (ideas, conventions, organization, sentence fluency, word choice, and voice). ^ The first step in the study was to procure a representative sampling of eight text-based pieces from such genres as project narratives, city council resolutions, executive summaries, public brochures, and planning documents. A cohort of eleven professionals scored the papers on the quality of writing and each provided a minimum of seven descriptive terms. They defined the terms and also wrote a paragraph telling what they considered to be good writing in urban planning and architecture. ^ The second step was to condense the descriptors provided by cohort 1 into a survey to be distributed on the listserv of the American Planning Association. Cohort 2 was made up of the 150 respondents who prioritized the descriptors and offered additional comments. A third, smaller cohort of seven individuals representing a cross-section of the professions, was asked to react to the choices and to respond more fully to qualitative interview questions. ^ The key descriptors that emerged from a factor analysis, supported by the qualitative analysis, fell into these domains: coherence and topicality, which enable planners and architects to move communities collectively to a vision; voice must be active and provocative, yet is factual but brief; rhythm and tone build coherency and clarity, but are not the end result; ideas and facts must be marked by precise words, definitions and fluency; and the intent must be clear without subversive assumptions. ^","Survey|Model-Building ~check|Interview / Focus Group","",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,1,0,1,0,2,"Language, Rhetoric and Composition|Education, Curriculum and Instruction|Urban and Regional Planning","Urban planning|Performance-oriented writing descriptors|Architecture|Writing|Rubric","Adviser","James Blasingame",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1515","3221119","","BLACKWOOD, RICKY KEITH","Factors in expository preaching that influence attention, comprehension and retention levels","The Southern Baptist Theological Seminary","Ed.D.",2006,239,"The gathered data in this research provides pastors, Christian educators, and other educators with a better understanding of multi-sensory teaching and advanced multi-sensory teaching and their influence on the cognitive domain. Specifically, this experiment seeks to determine if the use of multi-sensory teaching models could improve the impact of expository teaching in the cognitive domain, particularly as it relates to attention, comprehension, and retention in the life of the student. ^ The different teaching methods are: (1) <italic>Mono-Sensory Teaching </italic>: Auditory Teaching; (2) <italic>Multi-sensory Teaching</italic>: Auditory + Visual Teaching; (3) <italic>Advanced Multi-sensory Teaching </italic>: Auditory + Visual + Kinesthetic Teaching. ^ The work sets forth the cognitive objectives of the pastor-teacher, which include influencing the attention, retention, and comprehension of students. The research questions then ask: In expository preaching, does multi-sensory delivery and advanced multi-sensory delivery significantly influence attention, retention and comprehension? ^ Literature was reviewed that considered the educational, neurological, and theological implications of multi-sensory teaching. Literature, which examines teaching styles and learning styles, is also included. This literature supports the theory that people have unique learning preferences by which they prefer to learn and by which they learn the best. The closer the teaching matches the learning style of the student, the more effective the learning of the student will be. ^ A quasi-experimental posttest only design was conducted on a sample that included 923 individuals from 61 different nationalities. Students we treated with the three types of delivery and then observed to measure attention levels and post tested to measure comprehension and retention levels. <italic>Mono-sensory Delivery</italic> was the control group as no new teaching method was introduced. <italic> Multi-sensory Delivery</italic> was Tx<super>1</super> as the first new teaching variable was introduced. Advanced Multi-sensory Delivery was Tx<super>2</super> as the second new teaching variable was introduced. The test was conducted three times. ^ Results of the three preaching methodologies were collected, interpreted, and conclusions were reached. ^","Practitioner / Teacher Research|Experimental| ~check","",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,"Religion, Clergy|Psychology, Cognitive|Language, Rhetoric and Composition","Preaching|Comprehension|Retention|Attention|Expository preaching","Adviser","Brad Wagoner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1537","3224243","","KARASZ, HILARY N.","Anti-corporate collectivists, capable individualists, and relativists: A Q-methodological exploration of audiences for health communication about contaminated soils","University of Washington-Seattle Campus","Ph.D.",2006,196,"Communicating about low-risk environmental health issues to the community is the responsibility of public health agencies, and residents whose health might be affected have the right to be informed. Yet communicating to a large, undifferentiated audience about a problem that presents only a small risk can be overwhelming and ineffective. The purpose of this study was to explore Q methodology as a means to delineate audiences for communication about soil contamination, in this case soil contaminated with lead and arsenic, that stemmed from smelter operations in a nearby community. Dividing audiences into target groups of people who think similarly about an issue allows for potentially more effective communication interventions. Q-methodology's greatest advantage is that it allows participants to model their own subjective viewpoints on the issue at hand, rather than being subjected to and defined by the researcher's pre-determined categories. In this study, three types of people were discovered using Q methodology: Anti-corporate Collectivists, Capable Individualists, and Relativists. The research findings suggest that each type requires a different set of messages and communication strategy in order to meet the specific needs of the participants of each group. It also suggests that Q methodology is a valuable research tool in the formative stage, particularly for persons interested in social marketing techniques. ^","Practitioner / Teacher Research ~flag|Model-Building ~check","Not teacher practitioner, but writer practitioner_Ê_ but not poetic/fictive",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,"Speech Communication|Language, Rhetoric and Composition","Collectivists|Individualists|Health communication|Relativists|Environmental health|Contaminated soils|Anticorporate","Adviser","Nancy K. Rivenburgh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
